year,market,plant_id,capacity,quantity,investment,post_1990,population,market_capacity,market_quantity,n_plants,market_population,competitors_capacity
1980,0,0,383,335,0,0,8550477,3346,2953,5,8550477,2963
1980,0,1,951,849,0,0,8550477,3346,2953,5,8550477,2395
1980,0,2,626,552,0,0,8550477,3346,2953,5,8550477,2720
1980,0,3,686,599,0,0,8550477,3346,2953,5,8550477,2660
1980,0,4,700,618,0,0,8550477,3346,2953,5,8550477,2646
1981,0,0,383,343,0,0,8687655,3332,2938,5,8687655,2949
1981,0,1,952,839,1,0,8687655,3332,2938,5,8687655,2380
1981,0,2,623,540,-3,0,8687655,3332,2938,5,8687655,2709
1981,0,3,682,605,-4,0,8687655,3332,2938,5,8687655,2650
1981,0,4,692,611,-8,0,8687655,3332,2938,5,8687655,2640
1982,0,0,385,332,2,0,8827033,3401,2946,5,8827033,3016
1982,0,1,959,818,7,0,8827033,3401,2946,5,8827033,2442
1982,0,2,572,488,-50,0,8827033,3401,2946,5,8827033,2829
1982,0,3,791,702,109,0,8827033,3401,2946,5,8827033,2610
1982,0,4,694,606,2,0,8827033,3401,2946,5,8827033,2707
1983,0,0,393,350,8,0,8968648,3412,2977,5,8968648,3019
1983,0,1,956,824,-4,0,8968648,3412,2977,5,8968648,2456
1983,0,2,577,510,4,0,8968648,3412,2977,5,8968648,2835
1983,0,3,799,701,8,0,8968648,3412,2977,5,8968648,2613
1983,0,4,687,592,-7,0,8968648,3412,2977,5,8968648,2725
1984,0,0,387,331,-6,0,9112534,3394,2958,5,9112534,3007
1984,0,1,948,837,-8,0,9112534,3394,2958,5,9112534,2446
1984,0,2,577,498,0,0,9112534,3394,2958,5,9112534,2817
1984,0,3,793,699,-6,0,9112534,3394,2958,5,9112534,2601
1984,0,4,689,593,2,0,9112534,3394,2958,5,9112534,2705
1985,0,0,386,338,-1,0,9258729,3411,3018,5,9258729,3025
1985,0,1,951,846,2,0,9258729,3411,3018,5,9258729,2460
1985,0,2,588,514,11,0,9258729,3411,3018,5,9258729,2823
1985,0,3,796,708,3,0,9258729,3411,3018,5,9258729,2615
1985,0,4,690,612,1,0,9258729,3411,3018,5,9258729,2721
1986,0,0,383,331,-3,0,9407269,3383,2967,5,9407269,3000
1986,0,1,937,826,-14,0,9407269,3383,2967,5,9407269,2446
1986,0,2,591,524,3,0,9407269,3383,2967,5,9407269,2792
1986,0,3,784,674,-12,0,9407269,3383,2967,5,9407269,2599
1986,0,4,688,612,-1,0,9407269,3383,2967,5,9407269,2695
1987,0,0,380,338,-3,0,9558193,3249,2842,5,9558193,2869
1987,0,1,807,688,-130,0,9558193,3249,2842,5,9558193,2442
1987,0,2,581,507,-10,0,9558193,3249,2842,5,9558193,2668
1987,0,3,793,699,9,0,9558193,3249,2842,5,9558193,2456
1987,0,4,688,610,-1,0,9558193,3249,2842,5,9558193,2561
1988,0,0,353,317,-27,0,9711537,3202,2798,5,9711537,2849
1988,0,1,787,682,-20,0,9711537,3202,2798,5,9711537,2415
1988,0,2,579,508,-2,0,9711537,3202,2798,5,9711537,2623
1988,0,3,798,679,6,0,9711537,3202,2798,5,9711537,2404
1988,0,4,685,612,-3,0,9711537,3202,2798,5,9711537,2517
1989,0,0,356,307,3,0,9867342,3205,2768,5,9867342,2849
1989,0,1,782,676,-5,0,9867342,3205,2768,5,9867342,2423
1989,0,2,570,485,-9,0,9867342,3205,2768,5,9867342,2635
1989,0,3,804,702,6,0,9867342,3205,2768,5,9867342,2401
1989,0,4,693,598,8,0,9867342,3205,2768,5,9867342,2512
1990,0,0,363,313,7,1,10025646,3321,2926,5,10025646,2958
1990,0,1,759,664,-347,1,10025646,3321,2926,5,10025646,2562
1990,0,2,573,498,3,1,10025646,3321,2926,5,10025646,2748
1990,0,3,825,737,21,1,10025646,3321,2926,5,10025646,2496
1990,0,4,801,714,108,1,10025646,3321,2926,5,10025646,2520
1991,0,0,359,315,-4,1,10186491,3318,2922,5,10186491,2959
1991,0,1,772,666,14,1,10186491,3318,2922,5,10186491,2546
1991,0,2,567,503,-6,1,10186491,3318,2922,5,10186491,2751
1991,0,3,824,725,-1,1,10186491,3318,2922,5,10186491,2494
1991,0,4,796,713,-5,1,10186491,3318,2922,5,10186491,2522
1992,0,0,362,325,3,1,10349915,3305,2895,5,10349915,2943
1992,0,1,752,651,-21,1,10349915,3305,2895,5,10349915,2553
1992,0,2,562,495,-5,1,10349915,3305,2895,5,10349915,2743
1992,0,3,828,736,3,1,10349915,3305,2895,5,10349915,2477
1992,0,4,801,688,5,1,10349915,3305,2895,5,10349915,2504
1993,0,0,359,308,-3,1,10515962,3246,2874,5,10515962,2887
1993,0,1,747,659,-5,1,10515962,3246,2874,5,10515962,2499
1993,0,2,562,498,0,1,10515962,3246,2874,5,10515962,2684
1993,0,3,775,691,-53,1,10515962,3246,2874,5,10515962,2471
1993,0,4,803,718,2,1,10515962,3246,2874,5,10515962,2443
1994,0,0,360,307,1,1,10684672,3232,2824,5,10684672,2872
1994,0,1,746,646,-1,1,10684672,3232,2824,5,10684672,2486
1994,0,2,562,487,1,1,10684672,3232,2824,5,10684672,2670
1994,0,3,769,679,-6,1,10684672,3232,2824,5,10684672,2463
1994,0,4,795,705,-8,1,10684672,3232,2824,5,10684672,2437
1995,0,0,361,317,1,1,10856089,3214,2789,5,10856089,2853
1995,0,1,665,569,-81,1,10856089,3214,2789,5,10856089,2549
1995,0,2,604,528,122,1,10856089,3214,2789,5,10856089,2610
1995,0,3,777,672,8,1,10856089,3214,2789,5,10856089,2437
1995,0,4,807,703,12,1,10856089,3214,2789,5,10856089,2407
1996,0,0,360,319,-1,1,11030256,3344,2921,5,11030256,2984
1996,0,1,666,573,1,1,11030256,3344,2921,5,11030256,2678
1996,0,2,606,527,2,1,11030256,3344,2921,5,11030256,2738
